"","Code_ADN","Code","Nind","X50.floraison","Nbtalles","Epiaison","Longbrin","Diambrin","LongEpi","DiamEpi","PEpi","P1000","Pgrains","Tutiles","Tsteriles","essai","repetition","ID"
"830","So-6-4452-02","Pod_119",6,55,10.5,54.1666666666667,254.166666666667,1.61666666666667,67.3333333333333,2.45,75.795,6.235,49.3283333333333,3.16666666666667,7,"C","7",830
"831","So-6-51263-02","Pod_121",6,50.5,15,52,227.5,1.55,64.8333333333333,1.71666666666667,53.1166666666667,4.94333333333333,31.98,4.33333333333333,10,"C","7",831
"832","So-8-11559-01","Pod_122",4,53.5,8.5,53.75,240.25,1.5,60.25,2.35,89.1325,6.7925,55.94,2,6.5,"C","7",832
"833","So-8-11559-02","Pod_123",6,51,12.3333333333333,50.1666666666667,238,1.35,61.5,2.43333333333333,73.9216666666667,6.57833333333333,48.76,3.66666666666667,8.16666666666667,"C","7",833
"834","So-8-6685-01","Pod_129",6,51,13.1666666666667,51.6666666666667,233.166666666667,1.61666666666667,60,2.83333333333333,99.8633333333333,7.025,64.455,4.66666666666667,8,"C","7",834
"835","So-8-6685-02","Pod_130",5,49,13.4,50.4,235.8,1.6,51.4,2.42,71.332,6.754,42.748,5.2,7.8,"C","7",835
"836","So-8-6685-03","Pod_131",6,51,15.6666666666667,50.6666666666667,204.666666666667,1.53333333333333,52.5,2.55,69.2233333333333,7.08333333333333,42.745,5.66666666666667,9.66666666666667,"C","7",836
"837","So-8-6858-02","Pod_133",5,47,12,45.4,205.8,1.5,48.2,2.24,36.776,4.076,19.002,7.2,5,"C","7",837
"838","So-8-7024-01","Pod_135",6,50,11.6666666666667,50.3333333333333,236.5,1.45,56,2.43333333333333,79.8466666666667,6.15833333333333,47.945,3.33333333333333,8.33333333333333,"C","7",838
"839","So-8-7291-01","Pod_138",6,56.5,8.83333333333333,56.3333333333333,235.833333333333,1.75,72,2.78333333333333,103.603333333333,7.60333333333333,64.5933333333333,2.16666666666667,6.66666666666667,"C","7",839
"840","So-8-7539-01","Pod_140",6,53,9.83333333333333,53.3333333333333,241.666666666667,1.5,62.6666666666667,2,56.7233333333333,6.015,37.0316666666667,2.5,7,"C","7",840
"841","So-8-7539-02","Pod_141",6,51,13.6666666666667,50.5,230.166666666667,1.28333333333333,52.3333333333333,1.93333333333333,59.83,7.885,39.99,6.83333333333333,7.16666666666667,"C","7",841
"842","So-8-7539-03","Pod_142",6,50.5,12,49.5,237.833333333333,1.53333333333333,60.1666666666667,2.11666666666667,68.7533333333333,6.29166666666667,42.685,3.83333333333333,8.16666666666667,"C","7",842
"843","So-8-7539-04","Pod_143",6,46.5,11.8333333333333,47.3333333333333,234.666666666667,1.48333333333333,59.3333333333333,2.43333333333333,60.88,8.23166666666667,39.6066666666667,5,6.16666666666667,"C","7",843
"844","So-10-20006-01","Pod_48",3,50,13.6666666666667,50,266.333333333333,1.53333333333333,82,2.5,79.29,7.45,52.1133333333333,2.66666666666667,11.3333333333333,"C","7",844
"845","So-10-20006-02","Pod_49",5,48,14.2,47.8,241,1.6,67.4,2.44,73.696,6.104,43.428,3.6,10.6,"C","7",845
"846","So-10-20006-03","Pod_50",5,53,10.2,52.8,268.2,1.7,77.2,2.24,81.794,8.08,49.956,3,7,"C","7",846
"847","So-10-20110-02","Pod_52",6,47.5,10.6666666666667,47.8333333333333,178.333333333333,1.35,50.8333333333333,2,47.555,6.415,30.1833333333333,4.66666666666667,5.66666666666667,"C","7",847
"848","So-10-20110-03","Pod_53",5,54.5,11.8,52.6666666666667,281.666666666667,1.43333333333333,65.6666666666667,2.44,89.096,7.78,60.706,3.8,8,"C","7",848
"849","So-10-20117-02","Pod_55",5,51,15.2,53.4,236.8,1.74,60.6,2.66,81.112,6.278,47.042,4,11,"C","7",849
"850","So-10-20117-03","Pod_56",6,50,18.6666666666667,49.6666666666667,238.833333333333,1.56666666666667,57,2.4,93.39,7.16666666666667,62.6316666666667,5.83333333333333,12.1666666666667,"C","7",850
"851","So-10-20279-01","Pod_57",6,54.5,14.1666666666667,54,243.333333333333,1.58333333333333,60.6666666666667,2.58333333333333,99.135,7.2945,66.845,3.5,10,"C","7",851
"852","So-10-20279-02","Pod_58",6,47,11.5,47.3333333333333,207.5,1.38333333333333,53.6666666666667,2.16666666666667,62.5816666666667,6.45666666666667,42.3316666666667,4.16666666666667,7.66666666666667,"C","7",852
"853","So-10-20279-03","Pod_59",6,50,18.3333333333333,49.8333333333333,260.166666666667,1.31666666666667,66.1666666666667,2.23333333333333,68.8283333333333,7.43,46.64,5.66666666666667,12.8333333333333,"C","7",853
"854","So-10-20302-01","Pod_60",5,51,10.2,51.8,243.2,1.82,65.2,2.78,115.296,8.504,74.74,3.4,6.8,"C","7",854
"855","So-10-20302-03","Pod_62",6,50,11,49.5,238.5,1.48333333333333,55.3333333333333,2.25,69.01,6.575,45.4266666666667,3.5,7.5,"C","7",855
"856","So-10-20327-01","Pod_63",6,49.5,17.3333333333333,49.8333333333333,238.666666666667,1.45,58.5,2.31666666666667,63.6816666666667,6.705,44.1633333333333,7.66666666666667,9.66666666666667,"C","7",856
"857","So-10-20327-02","Pod_64",6,54.5,8.66666666666667,54.3333333333333,255.666666666667,1.9,62.3333333333333,2.6,88.9533333333333,7.21333333333333,54.6,2.83333333333333,6,"C","7",857
"858","So-10-20327-03","Pod_65",6,55.5,11.3333333333333,54.5,239.666666666667,1.65,59,2.52,90.382,7.908,62.09,3,8.16666666666667,"C","7",858
"859","So-10-20333-01","Pod_66",6,50,8.66666666666667,49.6666666666667,220.666666666667,1.38333333333333,61,2.21666666666667,68.9133333333333,6.86166666666667,38.7916666666667,3.16666666666667,5.5,"C","7",859
"860","So-10-20333-02","Pod_67",5,51,11,53.2,251.8,1.64,75.2,2.34,65.098,7.944,42.386,3.8,7,"C","7",860
"861","So-10-20333-03","Pod_68",6,52.5,9.5,51.6666666666667,247.166666666667,1.55,65.6666666666667,2.38333333333333,75.1983333333333,7.325,44.1366666666667,3.16666666666667,6.5,"C","7",861
"862","So-10-20333-04","Pod_69",6,51,12.3333333333333,51.5,258,1.76666666666667,74.6666666666667,2.48333333333333,84.7133333333333,7.545,54.1733333333333,3.16666666666667,9,"C","7",862
"863","So-10-20347-01","Pod_71",5,51,14.8,51,243.2,1.64,55.2,2.58,77.134,6.776,51.322,7.2,7.4,"C","7",863
"864","So-10-20347-02","Pod_72",5,50,12.2,49.8,254.2,1.38,62,2.18,64.288,5.5,36.784,6.4,6.2,"C","7",864
"865","So-10-20347-03","Pod_73",5,52.5,12.4,52.3333333333333,235.833333333333,1.25,46,1.62,29.748,4.191,14.896,3.8,7.6,"C","7",865
"866","So-10-20363-02","Pod_75",6,48,12,48.1666666666667,247,1.61666666666667,58.6666666666667,2.23333333333333,67.9133333333333,7.72166666666667,42.6483333333333,4.5,7.66666666666667,"C","7",866
"867","So-10-56965-01","Pod_77",5,51,9.6,50.4,263.6,1.68,72,2.52,93.388,7.74,59.61,2.8,6.4,"C","7",867
"868","So-10-56965-02","Pod_78",6,52.5,10.1666666666667,52.6666666666667,235.666666666667,1.58333333333333,55.5,2.51666666666667,69.925,6.42666666666667,39.5733333333333,4.66666666666667,5.5,"C","7",868
"869","So-10-56965-03","Pod_79",6,51,10.1666666666667,51.6666666666667,231.333333333333,1.56666666666667,63,2.56666666666667,82.9216666666667,6.54,52.54,3,6.66666666666667,"C","7",869
