Code_ADN	Code	Nind	50%floraison	Nbtalles	Epiaison	Longbrin	Diambrin	LongEpi	DiamEpi	PEpi	P1000	Pgrains	Tutiles	Tsteriles
So-21-1061629-01	Pod_80	8	51.5	10	51.25	235.8375	1.42875	58.5625	2.3575	58.9225	8.632857143	35.84428571	3.75	5.75
So-21-1061629-02	Pod_81	7	53.5	12.14285714	53.25	248.7875	1.605	52	2.525	60.5625	8.21	38.50875	6.125	5.857142857
So-21-28371-01	Pod_83	7	51	10.57142857	50.85714286	234.1428571	1.981428571	63.71428571	2.872857143	95.33166667	8.943333333	65.42	4.428571429	6.142857143
So-21-28371-04	Pod_86	8	50	11.375	51.57142857	239.5	1.6125	61.4375	2.2025	61.84428571	8.848571429	32.13571429	4	7
So-21-28423-01	Pod_87	7	55	10.42857143	54.28571429	240.8571429	1.918571429	57	3.368571429	113.2014286	8.017142857	76.39857143	3.714285714	6.857142857
So-21-28423-02	Pod_88	8	51	9.625	51.625	232.875	1.795	56.5	2.80625	78.91	9.32	48.51857143	4.75	4.875
So-21-28423-03	Pod_89	8	54.5	10	53.875	268.375	1.705	60.875	3.027142857	78.9875	7.68875	53.57125	4.5	5.5
So-21-28425-01	Pod_90	8	56.5	10.25	54.875	239	1.57	58.125	2.55625	71.466	8.355	40.896	5.25	4.75
So-21-28425-02	Pod_91	6	60	11.5	59.4	253.3333333	2.041666667	68	3.306666667	110.0766667	8.226666667	61.21833333	3.833333333	7.666666667
So-21-28425-03	Pod_92	8	57.5	11.5	60.25	229.375	1.5875	49.6875	2.37375	47.335	7.498333333	34.90666667	4.25	7.375
So-21-28449-01	Pod_93	8	50.5	11.75	50.875	250.35	1.93625	63.6875	2.83875	86.50833333	8.05125	57.19166667	3.625	8.375
So-21-28449-02	Pod_94	8	49	9.25	50.125	256	1.645714286	64.14285714	2.902857143	80.956	8.078	48.216	4.875	4.75
So-21-28449-04	Pod_96	8	51.5	10.375	51.625	216.3875	1.53	50.625	2.50375	59.39625	8.08	29.0975	3.375	6.875
So-21-29822-01	Pod_97	7	58	9.428571429	56.85714286	288	2.061428571	87.07142857	2.957142857	110.5883333	8.868333333	73.81833333	3	6.142857143
So-21-29822-02	Pod_98	8	53.5	9.25	53.25	290.375	1.65125	84.375	2.52	63.01857143	9.055714286	35.00857143	4.5	4.625
So-21-30218-01	Pod_99	8	55	9.625	54.5	253.75	1.99	61.125	2.68	85.54714286	9.805	50.52571429	4.375	5.25
So-21-30507-02	Pod_103	8	47	9.625	47.5	230.875	1.8	58.5625	2.5375	66.27	8.85375	36.83125	4.375	5.125
So-6-3189-01	Pod_111	8	52.5	8.875	52.75	272.75	1.76571428571429	69.75	2.86625	87.9375	8.95	50.95875	4.625	3.875
So-6-3189-02	Pod_112	6	51	8	51.1666666666667	256.166666666667	2.02666666666667	76.8333333333333	2.8	83.7016666666667	8.56833333333333	34.6716666666667	3.66666666666667	4.33333333333333
So-6-3189-03	Pod_113	8	58.5	9.625	57.875	258.5	2.14625	76.125	2.9425	75.5033333333333	7.73285714285714	31.9885714285714	3.625	6
So-6-4253-02	Pod_117	7	52	8.14285714285714	52.7142857142857	243.142857142857	1.65142857142857	74.3571428571429	2.38571428571429	45.5	7.83	21.4175	3.14285714285714	5
So-8-11559-03	Pod_124	6	49	9.33333333333333	50	226.166666666667	1.80666666666667	58.5	2.56833333333333	62.895	8.87666666666667	33.96	3.66666666666667	5.66666666666667
So-8-6858-03	Pod_134	8	54	10.375	53.875	248.25	1.8625	64.375	2.89375	104.428333333333	8.3925	51.325	4.25	5.875
So-8-7024-02	Pod_136	8	49.5	8.5	51	233.375	1.555	54.0625	2.485	56.1557142857143	8.22375	33.7242857142857	3.875	4.125
So-8-7024-03	Pod_137	8	47	11.25	47.25	223.625	1.59	44.75	1.9925	33.908	7.74666666666667	24.5366666666667	6	5.25
So-10-20117-01	Pod_54	8	46	11.75	45.625	231.875	1.7275	56.3125	2.27375	62.57	8.715	36.1675	6.125	5.375
So-10-20302-02	Pod_61	7	45	10.4285714285714	44	232.428571428571	1.43714285714286	50	2.02428571428571	47.69	7.47666666666667	16.23	6.57142857142857	3.85714285714286
So-10-20333-05	Pod_70	8	49	9.25	48.875	254.857142857143	1.56571428571429	64.2142857142857	2.41714285714286	90.22	8.365	55.03	5.625	3.375
So-10-20363-01	Pod_74	8	50	13	50.125	227.5	1.5225	55.625	2.3175	44.005	8.79285714285714	23.5428571428571	5	7.125
So-10-20363-03	Pod_76	7	47	10.8571428571429	47.5714285714286	257.4	1.71571428571429	51.7142857142857	2.30714285714286	36.502	9.16	20.56	5.42857142857143	5.71428571428571
So-21-1061629-03	Pod_82	8	46.5	11.25	47.125	239.25	1.49625	51.125	2.01875	54.54	6.324	37.46	6.75	4.25
So-21-28371-02	Pod_84	8	48	10.125	48.375	219.25	1.54375	42.875	2.2375	64.72	9.0325	29.84	4.75	5.125
So-21-28371-03	Pod_85	8	53	12.875	53.125	255.25	1.595	68	2.36125	60.1814285714286	8.7075	30.1433333333333	5.75	6.875
So-6-51263-01	Pod_120	-2	62.6396722560937	10.5524298204914	62.6105287276748	268.823493417671	1.78445612612537	59.4084169249144	2.64096898366109	73.5459104200818	7.79996682653162	40.7752257754092	4.94765239364993	5.49196202398772
