Code_ADN	Code	Nind	50%floraison	Nbtalles	Epiaison	Longbrin	Diambrin	LongEpi	DiamEpi	PEpi	P1000	Pgrains	Tutiles	Tsteriles
So-8-11559-01	Pod_122	8	47	9	46.625	256.25	1.4825	65.1875	2.31375	81.5	7.66625	52.8575	3.5	4.875
So-8-11559-02	Pod_123	8	47	12.125	47.5	238.5	1.6075	59.875	2.28125	66.53875	6.82875	40.16375	6.125	6
So-8-6685-01	Pod_129	8	47	9.125	46.5	221	1.57	63.8125	2.73875	80	7.56375	38.53875	3	5.875
So-8-6685-02	Pod_130	8	43	11.375	43.875	210.625	1.64125	62.8125	2.88375	84.1725	7.34	55.38	4.25	7.125
So-8-6685-03	Pod_131	8	46	11.625	45.625	234.25	1.50875	56.125	2.15125	56.5	6.40375	33.02125	5.5	6
So-8-6858-02	Pod_133	8	44.5	10.625	43.625	214.5	1.5925	57.625	2.41125	61.865	6.9325	41.695	6.5	3.625
So-8-7024-01	Pod_135	8	46	8.375	47.375	222.875	1.46	64.375	2.36125	70.75	7.48875	47	3.125	5.25
So-8-7291-01	Pod_138	8	50	9.75	50.25	253.125	1.68375	70.3125	2.7525	79.25	8.1025	44.21375	3.875	5.75
So-8-7539-01	Pod_140	8	43.5	13.125	44.25	248.5	1.625	70.375	2.3025	76.73375	7.03	51.815	6.875	5.625
So-8-7539-02	Pod_141	8	44.5	12	44.75	227.75	1.43625	55.5625	2.19375	60.25	7.6875	36.9575	6.5	5.5
So-8-7539-03	Pod_142	8	43.5	12.375	43.5	236.125	1.59875	61.1875	2.26875	75	6.6025	49.375	5.75	6.125
So-8-7539-04	Pod_143	8	45	9.25	46.375	249.125	1.53125	66.9375	2.26375	61.25	7.425	38.955	3.75	5.5
So-10-20006-01	Pod_48	8	45.5	10.875	45.25	263.25	1.6075	74	2.5575	92.45625	8.20875	58.82	5.375	5.5
So-10-20006-02	Pod_49	8	47	9.75	46.125	244.875	1.42125	71.5625	2.21875	56.135	7.4925	34.0925	4.5	4.875
So-10-20006-03	Pod_50	8	49.5	9.625	49.25	286.125	1.7425	81.125	2.285	72.875	8.03125	37.1825	4.75	4.5
So-10-20110-02	Pod_52	8	43	11.875	43.875	226.125	1.54375	56.3125	2.15	47.2	6.03125	27.22125	7.875	3.5
So-10-20110-03	Pod_53	8	44.5	8.625	44.375	274.75	1.4675	65.4375	2.41375	68.375	8.5575	42.25	4.25	4
So-10-20117-02	Pod_55	7	47	13.2857142857143	47.1428571428571	224.571428571429	1.77	58.4285714285714	2.89714285714286	93.1428571428571	7.87285714285714	54.5671428571429	5.85714285714286	7
So-10-20117-03	Pod_56	8	45	8.5	45.375	236.375	1.73125	66.8125	2.65375	74.45375	6.51	44.5525	4.125	4.25
So-10-20279-01	Pod_57	8	45	10.375	44.75	244.875	1.69	58.375	2.57125	77.75	7.47875	51.4475	5.25	4.75
So-10-20279-02	Pod_58	8	46.5	10	46.875	234.875	1.46375	57.25	2.34	77.25	6.5275	49.515	4.75	5
So-10-20279-03	Pod_59	8	45	9.375	45.625	238.875	1.50125	62.5	2.24	58.75	7.65	33.3125	4.625	4.75
So-10-20302-01	Pod_60	5	49	7.6	50.6666666666667	260.6	1.904	65.2	2.58	93.2	8.002	54.668	4	3.4
So-10-20302-03	Pod_62	8	49	12.75	48.5	235.75	1.6725	55.8125	2.61125	73.75	8.685	46.565	4.75	8.125
